               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 140,            0.016432,           0.0080047,                   0,             0.98938,             0.99448,             0.99282,             0.93165,           0.0090433,           0.0024214,                   0,           0.0072478,           0.0072478,           0.0072478
                 141,            0.015996,           0.0078878,                   0,              0.9893,             0.99448,             0.99284,             0.93138,           0.0090596,           0.0024198,                   0,            0.007228,            0.007228,            0.007228
                 142,            0.016563,           0.0080179,                   0,             0.98939,             0.99389,             0.99277,             0.93119,           0.0090673,           0.0024214,                   0,           0.0072082,           0.0072082,           0.0072082
                 143,            0.015989,           0.0076031,                   0,             0.98978,             0.99336,             0.99272,             0.93151,           0.0090694,           0.0024198,                   0,           0.0071884,           0.0071884,           0.0071884
                 144,            0.016226,           0.0079804,                   0,             0.98948,             0.99369,              0.9927,             0.93182,            0.009052,           0.0024141,                   0,           0.0071686,           0.0071686,           0.0071686
                 145,            0.016146,           0.0077933,                   0,             0.98901,             0.99442,             0.99266,             0.93149,           0.0090599,           0.0024122,                   0,           0.0071488,           0.0071488,           0.0071488
                 146,            0.016574,           0.0080122,                   0,             0.98785,             0.99458,              0.9927,             0.93187,           0.0090466,           0.0024084,                   0,            0.007129,            0.007129,            0.007129
                 147,            0.016248,           0.0078096,                   0,             0.98901,             0.99462,             0.99265,             0.93179,           0.0090113,           0.0024053,                   0,           0.0071092,           0.0071092,           0.0071092
                 148,            0.016798,           0.0077157,                   0,              0.9888,             0.99526,             0.99272,             0.93208,           0.0089889,           0.0024004,                   0,           0.0070894,           0.0070894,           0.0070894
                 149,            0.015681,           0.0076423,                   0,              0.9882,             0.99526,             0.99261,              0.9324,           0.0089751,           0.0023977,                   0,           0.0070696,           0.0070696,           0.0070696
                 150,            0.016246,           0.0078749,                   0,             0.98924,             0.99487,             0.99262,             0.93212,           0.0089694,           0.0023973,                   0,           0.0070498,           0.0070498,           0.0070498
                 151,            0.015816,           0.0077984,                   0,              0.9892,             0.99487,             0.99262,             0.93187,           0.0089762,           0.0023977,                   0,             0.00703,             0.00703,             0.00703
                 152,            0.016268,           0.0077859,                   0,             0.98785,             0.99455,             0.99259,             0.93225,           0.0089731,           0.0023967,                   0,           0.0070102,           0.0070102,           0.0070102
                 153,            0.016298,           0.0078167,                   0,             0.98883,             0.99448,              0.9926,             0.93262,           0.0089529,           0.0023953,                   0,           0.0069904,           0.0069904,           0.0069904
